customer_id,first_name,last_name,email,signup_date,country
CUST0001,Customer1,Lastname1,customer1@example.com,2023-01-01,USA
CUST0002,Customer2,Lastname2,customer2@example.com,2023-01-02,Canada
CUST0003,Customer3,Lastname3,customer3@example.com,2023-01-03,UK
CUST0004,Customer4,Lastname4,customer4@example.com,2023-01-04,Germany
CUST0005,Customer5,Lastname5,customer5@example.com,2023-01-05,France
CUST0006,Customer6,Lastname6,customer6@example.com,2023-01-06,USA
CUST0007,Customer7,Lastname7,customer7@example.com,2023-01-07,Canada
CUST0008,Customer8,Lastname8,customer8@example.com,2023-01-08,UK
CUST0009,Customer9,Lastname9,customer9@example.com,2023-01-09,Germany
CUST0010,Customer10,Lastname10,customer10@example.com,2023-01-10,France
CUST0011,Customer11,Lastname11,customer11@example.com,2023-01-11,USA
CUST0012,Customer12,Lastname12,customer12@example.com,2023-01-12,Canada
CUST0013,Customer13,Lastname13,customer13@example.com,2023-01-13,UK
CUST0014,Customer14,Lastname14,customer14@example.com,2023-01-14,Germany
CUST0015,Customer15,Lastname15,customer15@example.com,2023-01-15,France
CUST0016,Customer16,Lastname16,customer16@example.com,2023-01-16,USA
CUST0017,Customer17,Lastname17,customer17@example.com,2023-01-17,Canada
CUST0018,Customer18,Lastname18,customer18@example.com,2023-01-18,UK
CUST0019,Customer19,Lastname19,customer19@example.com,2023-01-19,Germany
CUST0020,Customer20,Lastname20,customer20@example.com,2023-01-20,France
CUST0021,Customer21,Lastname21,customer21@example.com,2023-01-21,USA
CUST0022,Customer22,Lastname22,customer22@example.com,2023-01-22,Canada
CUST0023,Customer23,Lastname23,customer23@example.com,2023-01-23,UK
CUST0024,Customer24,Lastname24,customer24@example.com,2023-01-24,Germany
CUST0025,Customer25,Lastname25,customer25@example.com,2023-01-25,France
CUST0026,Customer26,Lastname26,customer26@example.com,2023-01-26,USA
CUST0027,Customer27,Lastname27,customer27@example.com,2023-01-27,Canada
CUST0028,Customer28,Lastname28,customer28@example.com,2023-01-28,UK
CUST0029,Customer29,Lastname29,customer29@example.com,2023-01-29,Germany
CUST0030,Customer30,Lastname30,customer30@example.com,2023-01-30,France
CUST0031,Customer31,Lastname31,customer31@example.com,2023-01-31,USA
CUST0032,Customer32,Lastname32,customer32@example.com,2023-02-01,Canada
CUST0033,Customer33,Lastname33,customer33@example.com,2023-02-02,UK
CUST0034,Customer34,Lastname34,customer34@example.com,2023-02-03,Germany
CUST0035,Customer35,Lastname35,customer35@example.com,2023-02-04,France
CUST0036,Customer36,Lastname36,customer36@example.com,2023-02-05,USA
CUST0037,Customer37,Lastname37,customer37@example.com,2023-02-06,Canada
CUST0038,Customer38,Lastname38,customer38@example.com,2023-02-07,UK
CUST0039,Customer39,Lastname39,customer39@example.com,2023-02-08,Germany
CUST0040,Customer40,Lastname40,customer40@example.com,2023-02-09,France
CUST0041,Customer41,Lastname41,customer41@example.com,2023-02-10,USA
CUST0042,Customer42,Lastname42,customer42@example.com,2023-02-11,Canada
CUST0043,Customer43,Lastname43,customer43@example.com,2023-02-12,UK
CUST0044,Customer44,Lastname44,customer44@example.com,2023-02-13,Germany
CUST0045,Customer45,Lastname45,customer45@example.com,2023-02-14,France
CUST0046,Customer46,Lastname46,customer46@example.com,2023-02-15,USA
CUST0047,Customer47,Lastname47,customer47@example.com,2023-02-16,Canada
CUST0048,Customer48,Lastname48,customer48@example.com,2023-02-17,UK
CUST0049,Customer49,Lastname49,customer49@example.com,2023-02-18,Germany
CUST0050,Customer50,Lastname50,customer50@example.com,2023-02-19,France
CUST0051,Customer51,Lastname51,customer51@example.com,2023-02-20,USA
CUST0052,Customer52,Lastname52,customer52@example.com,2023-02-21,Canada
CUST0053,Customer53,Lastname53,customer53@example.com,2023-02-22,UK
CUST0054,Customer54,Lastname54,customer54@example.com,2023-02-23,Germany
CUST0055,Customer55,Lastname55,customer55@example.com,2023-02-24,France
CUST0056,Customer56,Lastname56,customer56@example.com,2023-02-25,USA
CUST0057,Customer57,Lastname57,customer57@example.com,2023-02-26,Canada
CUST0058,Customer58,Lastname58,customer58@example.com,2023-02-27,UK
CUST0059,Customer59,Lastname59,customer59@example.com,2023-02-28,Germany
CUST0060,Customer60,Lastname60,customer60@example.com,2023-03-01,France
CUST0061,Customer61,Lastname61,customer61@example.com,2023-03-02,USA
CUST0062,Customer62,Lastname62,customer62@example.com,2023-03-03,Canada
CUST0063,Customer63,Lastname63,customer63@example.com,2023-03-04,UK
CUST0064,Customer64,Lastname64,customer64@example.com,2023-03-05,Germany
CUST0065,Customer65,Lastname65,customer65@example.com,2023-03-06,France
CUST0066,Customer66,Lastname66,customer66@example.com,2023-03-07,USA
CUST0067,Customer67,Lastname67,customer67@example.com,2023-03-08,Canada
CUST0068,Customer68,Lastname68,customer68@example.com,2023-03-09,UK
CUST0069,Customer69,Lastname69,customer69@example.com,2023-03-10,Germany
CUST0070,Customer70,Lastname70,customer70@example.com,2023-03-11,France
CUST0071,Customer71,Lastname71,customer71@example.com,2023-03-12,USA
CUST0072,Customer72,Lastname72,customer72@example.com,2023-03-13,Canada
CUST0073,Customer73,Lastname73,customer73@example.com,2023-03-14,UK
CUST0074,Customer74,Lastname74,customer74@example.com,2023-03-15,Germany
CUST0075,Customer75,Lastname75,customer75@example.com,2023-03-16,France
CUST0076,Customer76,Lastname76,customer76@example.com,2023-03-17,USA
CUST0077,Customer77,Lastname77,customer77@example.com,2023-03-18,Canada
CUST0078,Customer78,Lastname78,customer78@example.com,2023-03-19,UK
CUST0079,Customer79,Lastname79,customer79@example.com,2023-03-20,Germany
CUST0080,Customer80,Lastname80,customer80@example.com,2023-03-21,France
CUST0081,Customer81,Lastname81,customer81@example.com,2023-03-22,USA
CUST0082,Customer82,Lastname82,customer82@example.com,2023-03-23,Canada
CUST0083,Customer83,Lastname83,customer83@example.com,2023-03-24,UK
CUST0084,Customer84,Lastname84,customer84@example.com,2023-03-25,Germany
CUST0085,Customer85,Lastname85,customer85@example.com,2023-03-26,France
CUST0086,Customer86,Lastname86,customer86@example.com,2023-03-27,USA
CUST0087,Customer87,Lastname87,customer87@example.com,2023-03-28,Canada
CUST0088,Customer88,Lastname88,customer88@example.com,2023-03-29,UK
CUST0089,Customer89,Lastname89,customer89@example.com,2023-03-30,Germany
CUST0090,Customer90,Lastname90,customer90@example.com,2023-03-31,France
CUST0091,Customer91,Lastname91,customer91@example.com,2023-04-01,USA
CUST0092,Customer92,Lastname92,customer92@example.com,2023-04-02,Canada
CUST0093,Customer93,Lastname93,customer93@example.com,2023-04-03,UK
CUST0094,Customer94,Lastname94,customer94@example.com,2023-04-04,Germany
CUST0095,Customer95,Lastname95,customer95@example.com,2023-04-05,France
CUST0096,Customer96,Lastname96,customer96@example.com,2023-04-06,USA
CUST0097,Customer97,Lastname97,customer97@example.com,2023-04-07,Canada
CUST0098,Customer98,Lastname98,customer98@example.com,2023-04-08,UK
CUST0099,Customer99,Lastname99,customer99@example.com,2023-04-09,Germany
CUST0100,Customer100,Lastname100,customer100@example.com,2023-04-10,France
